Problem Set Name,Time to Complete (ms),cMax
E20_1,1350,152.0
E20_2,3352,157.0
E20_3,3782,85.0
E20_4,2948,148.0
E20_5,1432,142.0
E30_1,3277,197.0
E30_2,8109,213.0
E30_3,9719,273.0
E30_4,5415,218.0
E30_5,6092,228.0
E40_1,20553,261.0
E40_2,21212,289.0
E40_3,17376,319.0
E40_4,16000,284.0
E40_5,20037,298.0
E50_1,27069,382.0
E50_2,37589,364.0
E50_3,19856,320.0
E50_4,74759,332.0
E50_5,34055,333.0
H20_1,3807,694.0
H20_2,1879,597.0
H20_3,2789,624.0
H20_4,6979,675.0
H20_5,1487,544.0
H30_1,5741,814.0
H30_2,8701,827.0
H30_3,6175,859.0
H30_4,4595,1090.0
H30_5,4801,767.0
H40_1,21006,1249.0
H40_2,12033,1133.0
H40_3,19209,950.0
H40_4,43078,1015.0
H40_5,21476,1040.0
H50_1,56200,1179.0
H50_2,79015,1374.0
H50_3,44317,1203.0
H50_4,27417,1552.0
H50_5,32286,1283.0
