Problem Set Name,Time to Complete (ms),cMax
LL1,359,11.0
LL2,194,13.0
LL3,310,12.0
LL4,291,21.0
LL5,212,11.0
LM1,236,16.0
LM2,197,14.0
LM3,263,17.0
LM4,269,25.0
LM5,229,24.0
LH1,749,27.0
LH2,552,23.0
LH3,351,25.0
LH4,1355,26.0
LH5,4402,32.0
ML1,148,18.0
ML2,138,36.0
ML3,191,23.0
ML4,221,35.0
ML5,157,37.0
MM1,256,27.0
MM2,245,31.0
MM3,331,41.0
MM4,286,36.0
MM5,388,45.0
MH1,593,46.0
MH2,944,47.0
MH3,279,35.0
MH4,1996,61.0
MH5,2805,55.0
HL1,176,30.0
HL2,238,48.0
HL3,199,55.0
HL4,155,53.0
HL5,234,43.0
HM1,212,21.0
HM2,258,62.0
HM3,219,42.0
HM4,273,61.0
HM5,366,55.0
HH1,749,67.0
HH2,409,67.0
HH3,332,70.0
HH4,371,74.0
HH5,2250,102.0
