Problem Set Name,Time to Complete (ms),cMax
LL1,1361,12.0
LL2,1224,16.0
LL3,1033,12.0
LL4,1061,21.0
LL5,1286,13.0
LM1,1315,18.0
LM2,1388,16.0
LM3,1490,20.0
LM4,3170,29.0
LM5,14318,28.0
LH1,3524,32.0
LH2,3674,28.0
LH3,4569,30.0
LH4,16967,33.0
LH5,7314,39.0
ML1,1117,25.0
ML2,1288,43.0
ML3,1075,23.0
ML4,1247,43.0
ML5,1217,40.0
MM1,1379,31.0
MM2,1376,33.0
MM3,2551,48.0
MM4,5361,44.0
MM5,2849,55.0
MH1,4475,54.0
MH2,3057,59.0
MH3,3837,41.999999999999986
MH4,11548,77.0
MH5,8686,57.0
HL1,1170,30.0
HL2,1300,48.0
HL3,1596,57.0
HL4,1509,56.0
HL5,1346,43.0
HM1,1799,23.0
HM2,1407,62.0
HM3,2581,51.0
HM4,2222,70.0
HM5,5085,63.0
HH1,5340,76.0
HH2,49449,79.0
HH3,25081,81.0
HH4,20343,91.0
HH5,10374,125.99999999999949
