Problem Set Name,Time to Complete (ms),cMax
LL1,412,12.0
LL2,191,16.0
LL3,128,12.0
LL4,255,21.0
LL5,178,13.0
LM1,145,18.0
LM2,147,16.0
LM3,237,20.0
LM4,268,29.0
LM5,272,29.0
LH1,465,32.0
LH2,421,28.0
LH3,748,31.0
LH4,901,32.0
LH5,1347,39.0
ML1,140,25.0
ML2,327,43.0
ML3,187,23.0
ML4,288,43.0
ML5,147,40.0
MM1,313,31.0
MM2,374,33.0
MM3,271,49.0
MM4,620,44.0
MM5,1567,54.0
MH1,522,53.0
MH2,707,58.0
MH3,338,42.0
MH4,919,81.0
MH5,1616,57.0
HL1,164,30.0
HL2,213,48.0
HL3,239,57.0
HL4,137,56.0
HL5,257,43.0
HM1,215,23.0
HM2,205,62.0
HM3,316,52.0
HM4,396,71.0
HM5,376,63.0
HH1,466,77.0
HH2,484,85.0
HH3,418,84.0
HH4,1365,91.0
HH5,1417,124.0
E20_1,2194,179.0
E20_2,2568,200.0
E20_3,2248,110.0
E20_4,3092,182.0
E20_5,2431,181.0
E30_1,6906,262.0
E30_2,3918,273.0
E30_3,1561,351.0
E30_4,8378,273.0
E30_5,3337,292.0
E40_1,5502,341.0
E40_2,9685,379.0
E40_3,9058,414.0
E40_4,6501,367.0
E40_5,5119,380.0
E50_1,18636,495.0
E50_2,17843,484.0
E50_3,9037,421.0
E50_4,17426,435.0
E50_5,57465,425.0
H20_1,2191,863.0
H20_2,1858,751.0
H20_3,2320,809.0
H20_4,1894,917.0
H20_5,2637,674.0
H30_1,8416,1037.0
H30_2,3878,1067.0
H30_3,4585,1098.0
H30_4,8871,1486.0
H30_5,3520,1008.0
H40_1,14534,1612.0
H40_2,24688,1470.0
H40_3,41180,1246.0
H40_4,19549,1348.0
H40_5,20985,1374.0
H50_1,21000,1564.0
H50_2,40449,1760.0
H50_3,46926,1588.0
H50_4,26424,1827.0
H50_5,11367,1703.0
