Problem Set Name,Time to Complete (ms),cMax
LL1,559,12.0
LL2,564,14.0
LL3,487,14.0
LL4,477,22.0
LL5,554,12.0
LM1,640,18.0
LM2,1306,16.0
LM3,1001,20.0
LM4,1739,29.0
LM5,1448,28.0
LH1,1115,33.0
LH2,12256,27.999999999999957
LH3,2027,30.0
LH4,2561,35.0
LH5,13991,39.0
ML1,444,25.0
ML2,594,42.0
ML3,531,22.0
ML4,566,42.0
ML5,532,40.0
MM1,643,30.0
MM2,1421,35.0
MM3,2222,48.0
MM4,877,44.0
MM5,1512,55.0
MH1,1599,54.0
MH2,8354,60.0
MH3,1214,42.0
MH4,2682,80.0
MH5,14674,58.0
HL1,422,30.0
HL2,483,45.0
HL3,525,57.0
HL4,553,59.0
HL5,469,49.0
HM1,684,28.0
HM2,1106,56.0
HM3,801,53.0
HM4,3468,69.0
HM5,2898,64.0
HH1,1577,79.0
HH2,1592,81.0
HH3,1402,84.0
HH4,2401,90.0
HH5,20621,125.0
