Problem Set Name,Time to Complete (ms),cMax
LL1,393,12.0
LL2,214,16.0
LL3,136,12.0
LL4,297,21.0
LL5,173,13.0
LM1,223,18.0
LM2,124,16.0
LM3,303,21.0
LM4,275,29.0
LM5,411,29.0
LH1,1055,32.0
LH2,297,30.0
LH3,385,31.0
LH4,1488,32.0
LH5,1965,39.0
ML1,99,25.0
ML2,224,43.0
ML3,179,23.0
ML4,236,43.0
ML5,117,40.0
MM1,232,31.0
MM2,315,33.0
MM3,474,48.0
MM4,376,44.0
MM5,469,55.0
MH1,530,54.0
MH2,407,59.0
MH3,861,42.0
MH4,799,76.0
MH5,915,57.0
HL1,163,30.0
HL2,192,48.0
HL3,210,57.0
HL4,101,56.0
HL5,230,43.0
HM1,249,23.0
HM2,361,62.0
HM3,421,51.0
HM4,366,70.0
HM5,1160,63.0
HH1,575,78.0
HH2,374,83.0
HH3,543,84.0
HH4,1615,90.0
HH5,2307,125.0
E20_1,1804,186.0
E20_2,2484,199.0
E20_3,3594,110.0
E20_4,1948,181.0
E20_5,2383,174.0
E30_1,14525,255.0
E30_2,9094,273.0
E30_3,2997,330.0
E30_4,13818,273.0
E30_5,4248,288.0
E40_1,13137,341.0
E40_2,13627,379.0
E40_3,14539,414.0
E40_4,5494,366.0
E40_5,10132,383.0
E50_1,23206,495.0
E50_2,24864,482.0
E50_3,24662,421.0
E50_4,27526,435.0
E50_5,29133,426.0
H20_1,2230,865.0
H20_2,3195,767.0
H20_3,788,897.0
H20_4,6072,843.0
H20_5,2887,672.0
H30_1,11569,1136.0
H30_2,4507,1067.0
H30_3,8063,1099.0
H30_4,16711,1291.0
H30_5,3220,1024.0
H40_1,20934,1624.0
H40_2,4832,1490.0
H40_3,9983,1244.0
H40_4,2748,1443.0
H40_5,11215,1374.0
H50_1,22172,1563.0
H50_2,35993,1979.0
H50_3,154125,1587.0
H50_4,29030,1833.0
H50_5,68488,1634.0
