Problem Set Name,Time to Complete (ms),cMax,Total Columns,Total Iterations,Columns Generated,Improvements Made
LL1,380,12.0,115,4,102=>74=>115=>115,-10.0=>0.0=>0.0
LL2,163,16.0,114,4,102=>75=>114=>114,-13.0=>0.0=>0.0
LL3,123,12.0,112,4,102=>78=>112=>112,-11.0=>0.0=>0.0
LL4,222,21.0,109,4,102=>73=>109=>109,-12.0=>0.0=>0.0
LL5,183,13.0,127,4,102=>89=>127=>127,-9.0=>0.0=>0.0
LM1,273,18.0,136,6,102=>75=>103=>100=>136=>136,-14.0=>0.0=>1.0=>0.0=>0.0
LM2,149,16.0,114,4,102=>76=>114=>114,-13.0=>0.0=>0.0
LM3,287,20.0,105,5,102=>72=>79=>105=>105,-19.0=>1.0=>0.0=>0.0
LM4,450,29.0,143,5,102=>102=>102=>143=>143,-21.0=>1.0=>0.0=>0.0
LM5,279,29.0,126,4,102=>94=>126=>126,-19.0=>0.0=>0.0
LH1,806,32.0,163,7,102=>101=>112=>122=>133=>163=>163,-29.0=>3.0=>1.0=>2.0=>0.0=>0.0
LH2,362,28.0,127,5,102=>86=>94=>127=>127,-26.0=>1.0=>0.0=>0.0
LH3,453,33.0,150,4,102=>110=>150=>150,-24.0=>0.0=>0.0
LH4,760,32.0,168,6,102=>101=>167=>121=>168=>168,-34.0=>0.0=>9.0=>0.0=>0.0
LH5,2648,40.0,403,9,102=>102=>257=>265=>305=>318=>344=>403=>403,-110.0=>0.0=>59.0=>6.0=>4.0=>2.0=>0.0=>0.0
ML1,95,25.0,99,4,102=>64=>99=>99,-23.0=>0.0=>0.0
ML2,189,43.0,111,4,102=>74=>111=>111,-32.0=>0.0=>0.0
ML3,148,23.0,106,4,102=>69=>106=>106,-14.0=>0.0=>0.0
ML4,250,43.0,116,4,102=>80=>116=>116,-30.0=>0.0=>0.0
ML5,123,40.0,113,4,102=>70=>113=>113,-24.0=>0.0=>0.0
MM1,230,31.0,111,4,102=>74=>111=>111,-21.0=>0.0=>0.0
MM2,228,33.0,103,4,102=>68=>103=>103,-27.0=>0.0=>0.0
MM3,440,48.0,126,7,102=>72=>75=>87=>84=>126=>126,-39.0=>1.0=>2.0=>1.0=>0.0=>0.0
MM4,271,44.0,114,4,102=>77=>114=>114,-41.0=>0.0=>0.0
MM5,437,54.0,127,6,102=>82=>83=>94=>127=>127,-46.0=>3.0=>2.0=>0.0=>0.0
MH1,535,54.0,141,5,102=>97=>102=>141=>141,-42.0=>4.0=>0.0=>0.0
MH2,513,58.0,146,6,102=>92=>98=>112=>146=>146,-53.0=>2.0=>1.0=>0.0=>0.0
MH3,619,42.0,149,6,102=>95=>112=>117=>149=>149,-49.0=>8.0=>1.0=>0.0=>0.0
MH4,1891,76.0,239,9,102=>111=>120=>181=>201=>188=>206=>239=>239,-98.0=>3.0=>0.0=>17.0=>11.0=>1.0=>0.0=>0.0
MH5,1517,58.0,297,8,102=>102=>268=>220=>233=>257=>297=>297,-160.0=>0.0=>99.0=>3.0=>1.0=>0.0=>0.0
HL1,137,30.0,105,4,102=>72=>105=>105,-27.0=>0.0=>0.0
HL2,168,48.0,118,4,102=>76=>118=>118,-24.0=>0.0=>0.0
HL3,206,57.0,105,4,102=>72=>105=>105,-38.0=>0.0=>0.0
HL4,116,56.0,101,4,102=>65=>101=>101,-32.0=>0.0=>0.0
HL5,203,43.0,108,4,102=>70=>108=>108,-22.0=>0.0=>0.0
HM1,168,23.0,93,4,102=>61=>93=>93,-20.0=>0.0=>0.0
HM2,199,62.0,101,4,102=>71=>101=>101,-40.0=>0.0=>0.0
HM3,252,51.0,97,5,102=>61=>65=>97=>97,-48.0=>2.0=>0.0=>0.0
HM4,775,70.0,183,8,102=>71=>110=>116=>153=>153=>183=>183,-49.0=>0.0=>1.0=>0.0=>1.0=>0.0=>0.0
HM5,323,63.0,123,5,102=>78=>87=>123=>123,-60.0=>4.0=>0.0=>0.0
HH1,524,78.0,135,5,102=>91=>105=>135=>135,-63.0=>6.0=>0.0=>0.0
HH2,1472,79.0,231,10,102=>97=>120=>117=>169=>177=>183=>194=>231=>231,-75.0=>2.0=>10.0=>0.0=>3.0=>2.0=>1.0=>0.0=>0.0
HH3,1163,82.0,191,8,102=>111=>114=>126=>146=>155=>191=>191,-67.0=>12.0=>1.0=>1.0=>1.0=>0.0=>0.0
